iter	Passed	Remaining
822	34250	7366
823	34300	7326
824	34354	7287
825	34406	7247
826	34431	7202
827	34457	7157
828	34509	7118
829	34567	7079
830	34616	7040
831	34650	6996
832	34696	6955
833	34747	6916
834	34779	6872
835	34816	6830
836	34858	6788
837	34889	6744
838	34939	6704
839	34974	6661
840	35031	6623
841	35062	6579
842	35121	6541
843	35170	6500
844	35218	6460
845	35266	6419
846	35297	6376
847	35349	6336
848	35382	6293
849	35418	6250
850	35456	6207
851	35504	6167
852	35544	6125
853	35600	6086
854	35624	6041
855	35658	5998
856	35707	5958
857	35738	5914
858	35788	5874
859	35834	5833
860	35891	5794
861	35951	5755
862	36002	5715
863	36030	5671
864	36086	5632
865	36130	5590
866	36157	5546
867	36190	5503
868	36236	5462
869	36286	5422
870	36349	5383
871	36400	5343
872	36452	5303
873	36500	5262
874	36531	5218
875	36577	5177
876	36616	5135
877	36648	5092
878	36700	5051
879	36743	5010
880	36773	4967
881	36800	4923
882	36838	4881
883	36874	4838
884	36921	4797
885	36974	4757
886	37009	4714
887	37035	4671
888	37082	4630
889	37125	4588
890	37171	4547
891	37216	4506
892	37245	4462
893	37299	4422
894	37335	4380
895	37384	4339
896	37437	4298
897	37464	4255
898	37489	4211
899	37533	4170
900	37587	4130
901	37614	4086
902	37645	4043
903	37673	4000
904	37704	3957
905	37735	3915
906	37786	3874
907	37848	3834
908	37906	3794
909	37955	3753
910	37995	3711
911	38024	3669
912	38082	3628
913	38137	3588
914	38198	3548
915	38253	3507
916	38284	3465
917	38323	3423
918	38356	3380
919	38402	3339
920	38436	3296
921	38475	3254
922	38502	3212
923	38569	3172
924	38638	3132
925	38669	3090
926	38710	3048
927	38753	3006
928	38785	2964
929	38817	2921
930	38857	2879
931	38885	2837
932	38929	2795
933	38954	2752
934	38984	2710
935	39005	2667
936	39049	2625
937	39080	2583
938	39109	2540
939	39147	2498
940	39176	2456
941	39214	2414
942	39241	2371
943	39273	2329
944	39310	2287
945	39343	2245
946	39392	2204
947	39441	2163
948	39486	2122
949	39512	2079
950	39542	2037
951	39592	1996
952	39621	1954
953	39649	1911
954	39698	1870
955	39734	1828
956	39783	1787
957	39817	1745
958	39869	1704
959	39897	1662
960	39944	1621
961	39981	1579
962	40034	1538
963	40078	1496
964	40128	1455
965	40154	1413
966	40196	1371
967	40226	1329
968	40248	1287
969	40272	1245
970	40308	1203
971	40358	1162
972	40408	1121
973	40437	1079
974	40465	1037
975	40498	995
976	40552	954
977	40584	912
978	40611	871
979	40661	829
980	40708	788
981	40739	746
982	40762	704
983	40798	663
984	40826	621
985	40881	580
986	40916	538
987	40963	497
988	40994	455
989	41035	414
990	41061	372
991	41106	331
992	41137	289
993	41167	248
994	41214	207
995	41276	165
996	41310	124
997	41364	82
998	41415	41
999	41443	0
